
ACE v2.6 

  instance
    name:HSP-table-13408_c23
    args:/work/19331811_465/HSP-table-13408_c23.xml -rr=true -rlog=false -npc=true

 ...Parsing /work/19331811_465/HSP-table-13408_c23.xml

 ...Loading variables

 ...Loading constraints

  domains
    types:23  values:51,629  sizes:[2:144,9:9,36:1,50:1...94:1,408:1,568:72,1176:8]
  variables
    count:242  omitted:1  auxiliary:207  arrays:[t:9,o:9,d:8,g:8,_ax_:207]  degrees:[1:44,2:158,3:11,4:10...32:1,33:2,34:4,35:2]
  constraints
    count:359  specific:287  generic:72  backtrackable:17  groups:6  arities:[1:26,2:63,3:268,9:2]
    unary:[Extension1:24]  objective:[ObjVarGE,ObjVarLE]
    non_unary:[AllDifferentComplete:1,CT-Table:16,DisjonctiveReified:36,Intension:72,Maximum:1,Reif3LE:72,Reif3LT:72,Sub2EQ:63]
    tables:[29376:1,40800:1,44880:1,50592:1...68544:1,75072:1,76704:1,322624:8]  tuples:3,028,160
    extStructures:(9,shared:7)  intStructures:(1,shared:71)
    wck:1.62  cpu:1.996  mem:1711M276
  objective
    way:min  type:ObjVarLE  arity:1  bounds:180..587

 ...Building solver

  solver
    nNotAC:63  reviser:Reviser3  decoder:Decoder1
    wck:1.91  cpu:2.279  mem:2566M914

  preprocessing
    effs:130  revisions:(510,useless=510)  entailed:40  values:30,083  removedByAC:21,546  singletons:32  unsat:false
    wck:0.107  cpu:2.386  mem:2566M914

  search
 ...Discarding 36 singleton variables
    run1  dpts:2..3  robin:PickOnDom-First  effs:8,132  asgs:(53,noefs=0,fails=50)  fails:50  wrgs:50  wck:0.42  ngds:50
    run2  dpts:3..8  robin:WdegOnDom-Last  effs:11,565  asgs:(61,noefs=0,fails=52)  fails:102  wrgs:107  wck:0.47  ngds:83
    run3  dpts:9..41  robin:FrbaOnDom-Rand  effs:17,949  asgs:(183,noefs=39,fails=55)  fails:157  wrgs:212  wck:0.60  ngds:101
    run4  dpts:4..6  robin:Wdeg-First  effs:23,163  asgs:(65,noefs=0,fails=57)  fails:214  wrgs:270  wck:0.71  ngds:157
    run5  dpts:9..14  robin:PickOnDom-Last  effs:28,453  asgs:(84,noefs=1,fails=60)  fails:274  wrgs:341  wck:0.86  ngds:197
    run6  dpts:2..6  robin:WdegOnDom-Rand  effs:42,952  asgs:(113,noefs=0,fails=63)  fails:337  wrgs:442  wck:1.49  ngds:202
    run7  dpts:9..36  robin:FrbaOnDom-First  effs:51,574  asgs:(192,noefs=37,fails=67)  fails:404  wrgs:552  wck:1.66  ngds:219
    run8  dpts:4..7  robin:Wdeg-Last  effs:59,573  asgs:(82,noefs=0,fails=70)  fails:474  wrgs:628  wck:1.72  ngds:256
    run9  dpts:6..14  robin:PickOnDom-Rand  effs:69,114  asgs:(123,noefs=1,fails=73)  fails:547  wrgs:736  wck:1.92  ngds:260
    run10  dpts:2..8  robin:WdegOnDom-First  effs:75,490  asgs:(127,noefs=0,fails=77)  fails:624  wrgs:853  wck:2.08  ngds:267
    run11  dpts:13..74  robin:FrbaOnDom-Last  effs:80,556  asgs:(197,noefs=20,fails=81)  fails:705  wrgs:963  wck:2.19  ngds:286
    run12  dpts:5..5  robin:Wdeg-Rand  effs:88,530  asgs:(90,noefs=0,fails=85)  fails:790  wrgs:1,048  wck:2.98  ngds:371
    run13  dpts:12..19  robin:PickOnDom-First  effs:97,589  asgs:(158,noefs=8,fails=89)  fails:879  wrgs:1,178  wck:3.08  ngds:379
    run14  dpts:3..8  robin:WdegOnDom-Last  effs:114,036  asgs:(171,noefs=0,fails=94)  fails:973  wrgs:1,336  wck:3.30  ngds:389
    run15  dpts:4..68  robin:FrbaOnDom-Rand  effs:128,484  asgs:(281,noefs=52,fails=98)  fails:1,071  wrgs:1,516  wck:3.56  ngds:396
    run16  dpts:2..6  robin:Wdeg-First  effs:138,368  asgs:(120,noefs=1,fails=103)  fails:1,174  wrgs:1,632  wck:3.61  ngds:405
    run17  dpts:7..40  robin:PickOnDom-Last  effs:154,494  asgs:(196,noefs=11,fails=109)  fails:1,283  wrgs:1,784  wck:4.10  ngds:465
    run18  dpts:4..9  robin:WdegOnDom-Rand  effs:177,972  asgs:(196,noefs=0,fails=114)  fails:1,397  wrgs:1,963  wck:4.87  ngds:472
    run19  dpts:5..67  robin:FrbaOnDom-First  effs:217,289  asgs:(386,noefs=118,fails=120)  fails:1,517  wrgs:2,214  wck:5.61  ngds:504
    run20  dpts:4..8  robin:Wdeg-Last  effs:228,985  asgs:(140,noefs=0,fails=126)  fails:1,643  wrgs:2,346  wck:5.83  ngds:614
    run21  dpts:4..12  robin:PickOnDom-Rand  effs:244,432  asgs:(218,noefs=0,fails=132)  fails:1,775  wrgs:2,538  wck:6.45  ngds:620
    run22  dpts:2..7  robin:WdegOnDom-First  effs:259,959  asgs:(230,noefs=0,fails=139)  fails:1,914  wrgs:2,745  wck:6.84  ngds:626
    run23  dpts:5..35  robin:FrbaOnDom-Last  effs:280,163  asgs:(311,noefs=19,fails=146)  fails:2,060  wrgs:2,959  wck:7.25  ngds:641
    run24  dpts:2..5  robin:Wdeg-Rand  effs:291,981  asgs:(163,noefs=0,fails=153)  fails:2,213  wrgs:3,117  wck:7.48  ngds:713
    run25  dpts:7..15  robin:PickOnDom-First  effs:307,877  asgs:(270,noefs=4,fails=161)  fails:2,374  wrgs:3,366  wck:7.65  ngds:722
    run26  dpts:2..7  robin:WdegOnDom-Last  effs:346,171  asgs:(306,noefs=0,fails=169)  fails:2,543  wrgs:3,650  wck:8.86  ngds:730
    run27  dpts:8..46  robin:FrbaOnDom-Rand  effs:369,598  asgs:(415,noefs=57,fails=177)  fails:2,720  wrgs:3,948  wck:9.25  ngds:740
    run28  dpts:3..6  robin:Wdeg-First  effs:386,228  asgs:(192,noefs=1,fails=186)  fails:2,906  wrgs:4,136  wck:9.33  ngds:779
o 587   12.4  ham=0 (0 0 0 0 0 0)  opth=0
    run107  dpts:17..63  robin:FrbaOnDom-Last  effs:2,208,471  asgs:(327,noefs=41,fails=120)  fails:14,674  wrgs:21,022  wck:76.8  ngds:3,257  sols:12  bounds:180..568
    run108  dpts:1..7  robin:Wdeg-Rand  effs:2,234,266  asgs:(207,noefs=0,fails=126)  fails:14,800  wrgs:21,210  wck:78.2  ngds:3,266  sols:12  bounds:180..568
    run109  dpts:4..13  robin:PickOnDom-First  effs:2,248,602  asgs:(229,noefs=2,fails=132)  fails:14,932  wrgs:21,414  wck:78.7  ngds:3,278  sols:12  bounds:180..568
    run110  dpts:3..9  robin:WdegOnDom-Last  effs:2,270,416  asgs:(242,noefs=1,fails=138)  fails:15,070  wrgs:21,638  wck:79.7  ngds:3,282  sols:12  bounds:180..568
    run111  dpts:14..50  robin:FrbaOnDom-Rand  effs:2,296,629  asgs:(376,noefs=59,fails=145)  fails:15,215  wrgs:21,932  wck:80.1  ngds:3,294  sols:12  bounds:180..568
    run112  dpts:4..6  robin:Wdeg-First  effs:2,317,980  asgs:(159,noefs=1,fails=153)  fails:15,368  wrgs:22,087  wck:80.6  ngds:3,370  sols:12  bounds:180..568
    run113  dpts:3..14  robin:PickOnDom-Last  effs:2,336,043  asgs:(278,noefs=0,fails=160)  fails:15,528  wrgs:22,335  wck:81.0  ngds:3,384  sols:12  bounds:180..568
    run114  dpts:2..10  robin:WdegOnDom-Rand  effs:2,364,976  asgs:(292,noefs=1,fails=168)  fails:15,696  wrgs:22,594  wck:82.2  ngds:3,394  sols:12  bounds:180..568
    run115  dpts:6..49  robin:FrbaOnDom-First  effs:2,397,930  asgs:(519,noefs=74,fails=177)  fails:15,873  wrgs:22,978  wck:83.0  ngds:3,403  sols:12  bounds:180..568
    run116  dpts:2..2  robin:Wdeg-Last  effs:2,415,589  asgs:(188,noefs=0,fails=186)  fails:16,059  wrgs:23,164  wck:83.5  ngds:3,589  sols:12  bounds:180..568
    run117  dpts:4..12  robin:PickOnDom-Rand  effs:2,442,756  asgs:(342,noefs=0,fails=195)  fails:16,254  wrgs:23,473  wck:84.8  ngds:3,604  sols:12  bounds:180..568
    run118  dpts:3..9  robin:WdegOnDom-First  effs:2,467,382  asgs:(330,noefs=0,fails=205)  fails:16,459  wrgs:23,775  wck:85.7  ngds:3,611  sols:12  bounds:180..568
    run119  dpts:7..52  robin:FrbaOnDom-Last  effs:2,496,686  asgs:(491,noefs=54,fails=215)  fails:16,674  wrgs:24,169  wck:86.5  ngds:3,620  sols:12  bounds:180..568
    run120  dpts:4..4  robin:Wdeg-Rand  effs:2,505,854  asgs:(230,noefs=0,fails=226)  fails:16,900  wrgs:24,395  wck:86.7  ngds:3,846  sols:12  bounds:180..568
    run121  dpts:5..13  robin:PickOnDom-First  effs:2,555,860  asgs:(448,noefs=1,fails=237)  fails:17,137  wrgs:24,776  wck:88.8  ngds:3,848  sols:12  bounds:180..568
    run122  dpts:3..9  robin:WdegOnDom-Last  effs:2,600,894  asgs:(454,noefs=0,fails=249)  fails:17,386  wrgs:25,199  wck:90.9  ngds:3,859  sols:12  bounds:180..568
    run123  dpts:5..26  robin:FrbaOnDom-Rand  effs:2,624,410  asgs:(492,noefs=23,fails=262)  fails:17,648  wrgs:25,615  wck:91.6  ngds:3,870  sols:12  bounds:180..568
    run124  dpts:2..4  robin:Wdeg-First  effs:2,652,237  asgs:(279,noefs=0,fails=275)  fails:17,923  wrgs:25,892  wck:92.7  ngds:3,962  sols:12  bounds:180..568
    run125  dpts:3..10  robin:PickOnDom-Last  effs:2,713,649  asgs:(543,noefs=0,fails=288)  fails:18,211  wrgs:26,378  wck:95.5  ngds:3,974  sols:12  bounds:180..568
    run126  dpts:2..9  robin:WdegOnDom-Rand  effs:2,759,941  asgs:(534,noefs=0,fails=303)  fails:18,514  wrgs:26,848  wck:97.5  ngds:3,987  sols:12  bounds:180..568
    run127  dpts:2..23  robin:FrbaOnDom-First  effs:2,799,007  asgs:(621,noefs=32,fails=318)  fails:18,832  wrgs:27,397  wck:98.7  ngds:3,999  sols:12  bounds:180..568
    run128  dpts:1..2  robin:Wdeg-Last  effs:2,821,726  asgs:(336,noefs=0,fails=334)  fails:19,166  wrgs:27,732  wck:99.0  ngds:4,112  sols:12  bounds:180..568
    run129  dpts:3..9  robin:PickOnDom-Rand  effs:2,877,645  asgs:(596,noefs=0,fails=351)  fails:19,517  wrgs:28,267  wck:101.6  ngds:4,131  sols:12  bounds:180..568
    run130  dpts:3..9  robin:WdegOnDom-First  effs:2,949,610  asgs:(711,noefs=0,fails=368)  fails:19,885  wrgs:28,883  wck:104.2  ngds:4,144  sols:12  bounds:180..568
    run131  dpts:3..39  robin:FrbaOnDom-Last  effs:2,992,446  asgs:(685,noefs=14,fails=387)  fails:20,272  wrgs:29,495  wck:105.6  ngds:4,168  sols:12  bounds:180..568
 ...resetting heuristics data (nValues:27,968 - nSingletons:37 - nEntailed:45)
    run132  dpts:1..2  robin:Wdeg-Rand  effs:3,017,786  asgs:(413,noefs=0,fails=406)  fails:20,678  wrgs:29,907  wck:106.1  ngds:4,207  sols:12  bounds:180..568
    run133  dpts:1..2  robin:PickOnDom-First  effs:3,051,458  asgs:(454,noefs=0,fails=426)  fails:21,104  wrgs:30,359  wck:106.7  ngds:4,322  sols:12  bounds:180..568
    run134  dpts:0..2  robin:WdegOnDom-Last  effs:3,077,943  asgs:(460,noefs=0,fails=448)  fails:21,552  wrgs:30,818  wck:107.3  ngds:4,322  sols:12  bounds:180..568
    run135  dpts:2..54  robin:FrbaOnDom-Rand  effs:3,115,691  asgs:(1142,noefs=96,fails=470)  fails:22,022  wrgs:31,551  wck:108.2  ngds:4,331  sols:12  bounds:180..568
    run136  dpts:4..6  robin:Wdeg-First  effs:3,132,443  asgs:(502,noefs=0,fails=494)  fails:22,516  wrgs:32,048  wck:108.8  ngds:4,493  sols:12  bounds:180..568
    run137  dpts:2..16  robin:PickOnDom-Last  effs:3,207,707  asgs:(986,noefs=7,fails=518)  fails:23,034  wrgs:32,937  wck:111.9  ngds:4,498  sols:12  bounds:180..568
    run138  dpts:3..5  robin:WdegOnDom-Rand  effs:3,230,279  asgs:(552,noefs=0,fails=544)  fails:23,578  wrgs:33,485  wck:113.1  ngds:4,532  sols:12  bounds:180..568
    run139  dpts:1..42  robin:FrbaOnDom-First  effs:3,289,303  asgs:(1302,noefs=141,fails=572)  fails:24,150  wrgs:34,482  wck:114.5  ngds:4,541  sols:12  bounds:180..568
    run140  dpts:2..7  robin:Wdeg-Last  effs:3,323,061  asgs:(620,noefs=0,fails=600)  fails:24,750  wrgs:35,098  wck:115.5  ngds:4,687  sols:12  bounds:180..568
    run141  dpts:2..13  robin:PickOnDom-Rand  effs:3,408,474  asgs:(1074,noefs=0,fails=630)  fails:25,380  wrgs:36,069  wck:118.2  ngds:4,707  sols:12  bounds:180..568
    run142  dpts:0..7  robin:WdegOnDom-First  effs:3,497,608  asgs:(1111,noefs=0,fails=662)  fails:26,042  wrgs:37,119  wck:122.1  ngds:4,714  sols:12  bounds:180..568
    run143  dpts:1..56  robin:FrbaOnDom-Last  effs:3,581,404  asgs:(1491,noefs=109,fails=695)  fails:26,737  wrgs:38,298  wck:123.8  ngds:4,730  sols:12  bounds:180..568
    run144  dpts:0..7  robin:Wdeg-Rand  effs:3,633,523  asgs:(797,noefs=0,fails=730)  fails:27,467  wrgs:39,077  wck:124.8  ngds:4,884  sols:12  bounds:180..568
    run145  dpts:0..11  robin:PickOnDom-First  effs:3,695,021  asgs:(873,noefs=0,fails=512)  fails:27,979  wrgs:39,893  wck:126.5  ngds:4,884  sols:12  bounds:569..568

  global
    effs:3,695,021  revisions:(6732610,useless=6646833)  noefs:1,717  ngds:4,884
    stop:FULL_EXPLORATION  wrgs:39,893  bound:569  boundWck:16.867  sols:12  sol1Cpu:12.737
    wck:128.5  cpu:128.35  mem:2617M245


  Solution 12 in JSON-like format:
   {
    t: [0, 144, 196, 283, 323, 381, 445, 493, 68],
    o: [0, 2, 3, 4, 5, 6, 7, 8, 1],
    d: [*, 144, 52, 87, 40, 58, 64, 48, 144],
    z: 569,
    g: [144, 52, 87, 40, 58, 64, 48, -425]
   }

s OPTIMUM FOUND

v  <instantiation id='sol12' type='solution' cost='569'> <list> t[] o[] d[] z g[] </list> <values> 0 144 196 283 323 381 445 493 68   0 2 3 4 5 6 7 8 1   * 144 52 87 40 58 64 48 144   569   144 52 87 40 58 64 48 -425 </values> </instantiation>

d BOUND  569  (12 sols)

d WRONG DECISIONS  39,893  (315.35 wrg/s)

d WCK SOL 1  12.4 (587)
d WCK SOL-1  16.9 (569)
d CPU        128.358

d COMPLETE EXPLORATION
